#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -120.020   -127.790    -28.240    173.930     91.530
      0.100   -101.038   -102.242   -118.211    -21.321    181.636    100.059
      0.200   -102.737    -83.683   -107.724    -12.651    189.545    109.672
      0.300   -103.453    -64.334    -96.214     -1.675    197.421    120.528
      0.400   -102.919    -44.224    -83.550     12.352    204.793    132.744
      0.500   -100.783    -23.446    -69.599     30.362    210.761    146.277
      0.600    -96.599     -2.222    -54.252     53.323    213.720    160.670
      0.700    -89.850     19.020    -37.489     81.662    211.119    174.587
      0.800    -80.069     39.571    -19.491    113.960    199.901    185.368
      0.900    -67.087     58.498     -0.741    145.681    178.639    189.630
      1.000    -51.262     74.938     18.032    170.807    150.157    185.836
      1.100    -33.408     88.453     36.116    186.271    120.148    175.842
      1.200    -14.437     99.107     53.052    193.159     92.941    162.882
      1.300      4.930    107.259     68.666    194.181     70.096    149.393
      1.400     24.225    113.339     82.965    191.705     51.494    136.599
      1.500     43.175    117.736     96.042    187.305     36.446    124.938
      1.600     61.637    120.769    108.013    181.926     24.221    114.476
      1.700     79.539    122.690    118.993    176.111     14.197    105.129
      1.800     96.852    123.694    129.088    170.163      5.893     96.767
      1.900    113.573    123.936    138.389    164.254     -1.060     89.257
      2.000    129.710    123.536    146.976    158.475     -6.939     82.479
      2.100    145.277    122.592    154.916    152.871    -11.955     76.327
      2.200    160.294    121.180    162.268    147.464    -16.269     70.714
      2.300    174.780    119.366    169.082    142.258    -20.007     65.566
      2.400    188.755    117.203    175.402    137.252    -23.266     60.822
      2.500    202.240    114.733    181.264    132.437    -26.123     56.430
      2.600    215.252    111.995    186.703    127.804    -28.640     52.346
      2.700    227.809    109.020    191.747    123.342    -30.867     48.534
      2.800    239.928    105.834    196.422    119.040    -32.843     44.964
      2.900    251.625    102.462    200.750    114.887    -34.604     41.608
      3.000    262.913     98.923    204.753    110.873    -36.176     38.444
      3.100    273.806     95.235    208.448    106.987    -37.582     35.452
      3.200    284.316     91.414    211.851    103.221    -38.843     32.616
      3.300    294.455     87.473    214.978     99.566    -39.973     29.920
      3.400    304.234     83.425    217.842     96.014    -40.988     27.352
      3.500    313.663     79.281    220.454     92.558    -41.899     24.900
      3.600    322.750     75.050    222.827     89.190    -42.716     22.554
      3.700    331.505     70.742    224.970     85.906    -43.448     20.306
